,Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
104,https://www.zomato.com/chennai/rayars-mess-mylapore,RAYAR'S MESS," 31, Arundale Street, Mylapore, Chennai",['South Indian'],100.0,4.7,904
105,https://www.zomato.com/chennai/hotel-safari-royapettah,HOTEL SAFARI," 296, Royapettah High Road, Royapettah, Chennai","['Chettinad', ' Chinese', ' Seafood', ' Hyderabadi']",450.0,4.1,516
106,https://www.zomato.com/chennai/vb-signature-nungambakkam,VB SIGNATURE," 52, Nungambakkam High Road, Nungambakkam, Chennai","['North Indian', ' South Indian', ' Chinese', ' Asian', ' Fast Food', ' Desserts', ' Beverages']",1000.0,4.5,1611
107,https://www.zomato.com/chennai/blind-ch3mistry-nungambakkam,BLIND CH3MISTRY," Old 11, New 19, 1st Floor, Brindhavan Apartment, Khader Nawaz Khan Road, Nungambakkam, Chennai","['Cafe', ' Continental', ' Italian', ' Desserts', ' Beverages']",700.0,4.5,1258
108,https://www.zomato.com/chennai/fishermans-fare-egmore,FISHERMAN'S FARE," 24, Casa Major Road, Egmore, Chennai","['Seafood', ' Mediterranean', ' North Indian', ' Chinese', ' Arabian']",900.0,2.9,374
109,https://www.zomato.com/chennai/madras2chennai-washermenpet,MADRAS2CHENNAI," 183/4 (601), T.H Road, Opposite Apollo Hospital, Tondiarpet, Washermenpet, Chennai","['Biryani', ' Mughlai', ' North Indian', ' Chinese', ' Chettinad']",800.0,4.1,509
110,https://www.zomato.com/chennai/north-east-kitchen-egmore,NORTH EAST KITCHEN," 24, Wellingdon Estate, Ethiraj Salai, Egmore, Chennai","['Chinese', ' Konkan', ' Momos']",450.0,4.5,705
111,https://www.zomato.com/chennai/al-maza-anna-nagar-east,ALMAZA," 30, A Block, 6th Street, Near Titan Showroom, Anna Nagar East, Chennai","['Arabian', ' Mughlai', ' North Indian', ' Biryani']",1000.0,4.6,764
112,https://www.zomato.com/chennai/jonahs-bistro-besant-nagar,JONAH'S BISTRO," Old 147 E / New 9, 2nd Avenue, Besant Nagar, Chennai","['Continental', ' European', ' Italian']",1000.0,4.4,1485
113,https://www.zomato.com/chennai/barbeque-nation-porur,BARBEQUE NATION," 1, Survey 38, 2nd Floor, Mount Poonamalle High Road, Porur, Chennai","['North Indian', ' Continental', ' Kebab', ' BBQ']",1600.0,4.3,602
114,https://www.zomato.com/chennai/mughal-biriyani-besant-nagar,MUGHAL BIRIYANI," 51/2, MG Road, Vannandurai, Besant Nagar, Chennai","['North Indian', ' Chinese', ' Biryani', ' Arabian']",350.0,4.0,323
115,https://www.zomato.com/chennai/loiee-mithai-rasoi-selaiyur,LOIEE MITHAI & RASOI," Camp Road Junction, Opposite Bata Showroom, Selaiyur, Chennai","['North Indian', ' Chinese', ' Fast Food', ' Desserts']",650.0,4.1,459
116,https://www.zomato.com/chennai/roll-over-anna-nagar-east,ROLL OVER," 338/3, New Sunshine Apartments, Next to Santosh Supermarket, 2nd Avenue, Anna Nagar East, Chennai","['Ice Cream', ' Desserts', ' Fast Food']",450.0,4.3,721
117,https://www.zomato.com/chennai/pizza-hut-nungambakkam,PIZZA HUT," 316,Gee Gee Emerald, Village Road, Nungambakkam, Chennai","['Pizza', ' Fast Food', ' Finger Food', ' American']",600.0,2.9,447
118,https://www.zomato.com/chennai/ratna-cafe-1-kilpauk,RATNA CAFE," 240, Kilpauk Garden Road, Kilpauk, Chennai","['South Indian', ' Chinese', ' Street Food', ' Beverages']",400.0,3.9,653
119,https://www.zomato.com/chennai/masaledaar-desi-rasoi-egmore,MASALEDAAR DESI RASOI," 24, Wellington Estate, Ethiraj Salai, Egmore, Chennai",['North Indian'],500.0,4.3,682
120,https://www.zomato.com/chennai/the-big-barbeque-old-mahabalipuram-road-omr,THE BIG BARBEQUE," 5/360, Okkiyum Thoraipakkam Rajiv Gandhi Salai, Old Mahabalipuram Road (OMR), Chennai","['North Indian', ' Street Food', ' Desserts', ' BBQ']",1400.0,4.4,2390
121,https://www.zomato.com/chennai/the-feast-anna-nagar-east,THE FEAST," 14, 1st Floor, Plot 4000, S-Block, 5th Avenue, Anna Nagar East, Chennai","['North Indian', ' Chinese', ' Biryani']",800.0,4.3,652
