Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
https://www.zomato.com/chennai/mississippi-bar-kilpauk,MISSISSIPPI BAR,"Hotel Blue Diamond, 934, EVR Periyar Salai, Kilpauk, Chennai",['Finger Food'],1000,3.0,8
https://www.zomato.com/chennai/my-cafe-anna-nagar-west,MY CAFE,"195A, Asiad Colony, Near Indian Bank, Anna Nagar West, Chennai","['Continental', ' Chinese', ' Beverages']",300,3.7,33
https://www.zomato.com/chennai/nellai-hotel-1-pallavaram,NELLAI HOTEL,"96, Kamarajar Salai, Anakaputhur, Pallavaram, Chennai","['South Indian', ' Chinese']",300,3.0,7
https://www.zomato.com/chennai/rasa-parathas-navallur,RASA PARATHAS,"92, OMR Food Street, Navallur, Chennai",['North Indian'],200,3.5,51
https://www.zomato.com/chennai/sea-emperor-madipakkam,SEA EMPEROR,"11,12 & 13, Velachery Main Road, Ram Nagar, Madipakkam, Chennai","['Chinese', ' Arabian', ' North Indian', ' Seafood']",900,3.8,602
https://www.zomato.com/chennai/shri-rajasthani-dhaba-anna-nagar-west,SHRI RAJASTHANI DHABA,"C 40, 3rd Floor, 2nd Avenue, Opposite KFC, Anna Nagar West, Chennai","['Rajasthani', ' North Indian']",500,4.5,983
https://www.zomato.com/chennai/sri-akshayaas-veg-treat-porur,SRI AKSHAYAAS VEG TREAT,"88, Karapakkam Main Road, Porur, Chennai","['South Indian', ' North Indian', ' Chinese']",350,3.5,8
https://www.zomato.com/chennai/ss-pandian-hotel-1-poonamalle,SS PANDIAN HOTEL,"2/19, Vetriillai Thottam, Seenerkuppam, Poonamalle, Chennai","['South Indian', ' North Indian', ' Biryani', ' Chinese']",400,3.3,22
https://www.zomato.com/chennai/the-alcove-1-besant-nagar,THE ALCOVE,"T-45, A&B, Shubha Building, 7th Avenue, Besant Nagar, Chennai","['Continental', ' Italian', ' Mexican', ' Beverages']",800,3.6,38
https://www.zomato.com/chennai/the-cake-days-pallavaram,THE CAKE DAYS,"33, Pammal Main Road, Muthamizh Nagar, Opposite IOB & Cub Bank, Pallavaram, Chennai","['Fast Food', ' Bakery']",350,3.5,14
https://www.zomato.com/chennai/the-cupcake-company-alwarpet,THE CUPCAKE COMPANY,"187, St Mary's Road, Alwarpet, Chennai","['Bakery', ' Desserts']",600,4.0,272
https://www.zomato.com/chennai/the-tiger-house-besant-nagar,THE TIGER HOUSE,"137/3, 2nd Avenue, Besant Nagar, Chennai","['Fast Food', ' Beverages']",900,3.7,118
https://www.zomato.com/chennai/vallalar-quality-tiffin-centre-purasavakkam,VALLALAR QUALITY TIFFIN CENTRE,"2/26, Valluvan Street, Purasavakkam, Chennai","['South Indian', ' Chinese']",300,3.4,9
https://www.zomato.com/chennai/vip-restaurant-royapettah,VIP RESTAURANT,"158/227, Royapetah High Road, Royapettah, Chennai","['South Indian', ' North Indian', ' Chinese']",300,2.0,4
https://www.zomato.com/chennai/ab-food-paradise-restaurant-sholinganallur,AB FOOD PARADISE RESTAURANT,"10, The Shops Complex, Kailash Nagar, Sholinganallur Main Road, Sholinganallur, Chennai",['South Indian'],300,3.4,155
